Epoch,Total Loss,Target Loss,Regularization Loss
1,1.9049988,1.8772529,0.27745882
2,1.6148515,1.5873148,0.27536592
3,0.94759864,0.9202825,0.2731618
4,0.78981245,0.7629754,0.26837024
5,0.59838927,0.5717164,0.26672864
6,0.25487873,0.22801106,0.26867685
7,0.15193157,0.12495396,0.26977602
8,0.13868529,0.11182572,0.26859567
9,0.08999213,0.06292875,0.2706338
10,0.09974854,0.07312874,0.26619798
11,0.07869731,0.051779814,0.26917493
12,0.053751245,0.026897293,0.26853952
13,0.041998055,0.0151151195,0.26882935
14,0.04494031,0.01817219,0.2676812
15,0.035818405,0.009317548,0.26500857
16,0.036094986,0.009471067,0.26623917
17,0.032371268,0.0057096323,0.26661634
18,0.031066544,0.0041213413,0.26945204
19,0.03248813,0.005849802,0.26638326
20,0.029427228,0.0027175345,0.26709694
21,0.028458292,0.0016702164,0.26788074
22,0.031585056,0.0047286786,0.26856378
23,0.02990955,0.00359774,0.2631181
24,0.03023417,0.004172422,0.26061746
25,0.027690193,0.0012261971,0.26463994
26,0.027859617,0.0016665095,0.26193106
27,0.027259607,0.0013282597,0.25931346
28,0.027723227,0.0018346596,0.25888568
29,0.02688238,0.0004991603,0.26383218
30,0.026889462,0.0010282071,0.25861254
31,0.027708553,0.0013930385,0.26315513
32,0.02787688,0.0018262044,0.26050675
33,0.027457451,0.0017712909,0.2568616
34,0.027471788,0.0017014584,0.2577033
35,0.02643975,0.0006969423,0.25742808
36,0.029105494,0.0038884399,0.25217053
37,0.026316464,0.0004630045,0.25853458
38,0.026681334,0.001233453,0.2544788
39,0.025888192,0.00050014514,0.25388047
40,0.026914727,0.0015449956,0.2536973
41,0.026485562,0.00074648473,0.25739077
42,0.026644895,0.0010989544,0.2554594
43,0.025758017,0.0004720673,0.2528595
44,0.026383607,0.00032538467,0.2605822
45,0.02643946,0.0015233303,0.24916129
46,0.025838435,0.0007903088,0.25048125
47,0.027176563,0.0022861962,0.24890366
48,0.026171738,0.0006848316,0.25486907
49,0.025921443,0.00073610316,0.2518534
50,0.026124492,0.00092303834,0.25201455
51,0.025407918,0.0004797337,0.24928184
52,0.025607206,0.00056230294,0.25044903
53,0.025838753,0.00060948933,0.25229263
54,0.026398415,0.00054497994,0.25853434
55,0.025483605,0.00027112395,0.2521248
56,0.02575009,0.0010507808,0.24699308
57,0.025766972,0.0007024234,0.2506455
58,0.025415618,0.0005922066,0.24823412
59,0.025552236,0.0004132251,0.2513901
60,0.026447237,0.0016823048,0.24764933
61,0.025207069,0.00042989256,0.24777175
62,0.025162999,0.000289086,0.24873912
63,0.025368264,0.00056571275,0.2480255
64,0.025162278,0.0005921939,0.24570084
65,0.025285589,0.0008917131,0.24393874
66,0.025081418,0.00034221477,0.24739203
67,0.025694232,0.0014570514,0.24237181
68,0.025004674,0.00033799067,0.24666683
69,0.024998933,0.00034331036,0.24655622
70,0.025581885,0.00043250417,0.2514938
71,0.025172627,0.0008019959,0.2437063
72,0.024789015,0.00022719878,0.24561816
73,0.025351355,0.0008818194,0.24469535
74,0.02473798,0.00036994275,0.24368036
75,0.024863008,0.0004487824,0.24414226
76,0.024681602,0.0006009791,0.24080622
77,0.02475355,0.00045165472,0.24301895
78,0.024796886,0.0006256472,0.24171238
79,0.024642669,0.0003577692,0.24284899
80,0.025165152,0.0005357368,0.24629414
81,0.024377534,0.00023839925,0.24139133
82,0.025089025,0.0010021664,0.24086858
83,0.024647137,0.0007817234,0.23865412
84,0.024809552,0.0005312481,0.24278304
85,0.025498988,0.0011787482,0.24320239
86,0.024505958,0.00018413462,0.24321821
87,0.024789121,0.00063767727,0.24151444
88,0.024901858,0.00064203894,0.24259818
89,0.024540821,0.0003991528,0.24141668
90,0.024463069,0.00042338017,0.24039687
91,0.024724517,0.0009318525,0.23792663
92,0.025110874,0.0015134668,0.23597407
93,0.024795499,0.00096067187,0.23834826
94,0.024584873,0.0007262926,0.2385858
95,0.0243412,0.0005609531,0.23780246
96,0.024398446,0.0003850731,0.24013372
97,0.02427941,0.00037900032,0.23900409
98,0.024594674,0.00044737893,0.24147294
99,0.024230547,0.0005596963,0.23670849
100,0.024305884,0.0006088867,0.23696996
101,0.02433904,0.00064377964,0.2369526
102,0.024722299,0.00048388436,0.24238415
103,0.025330106,0.0017002433,0.23629862
104,0.024037695,0.0004535205,0.23584174
105,0.024467262,0.0005226781,0.23944582
106,0.023968713,0.00032954902,0.23639165
107,0.024367483,0.00066491956,0.23702563
108,0.024145419,0.00062962336,0.23515795
109,0.024365224,0.00029231788,0.24072906
110,0.025029812,0.001242106,0.23787704
111,0.024536796,0.0008278355,0.2370896
112,0.023866657,0.00030924263,0.23557416
113,0.023973297,0.00032690307,0.23646393
114,0.02392438,0.00020752984,0.2371685
115,0.024129521,0.0005176811,0.23611839
116,0.023898637,0.00017701765,0.23721619
117,0.024279796,0.0007982712,0.23481524
118,0.023957523,0.00047549652,0.23482026
119,0.024004314,0.00039554306,0.2360877
120,0.024258774,0.0006625997,0.23596172
121,0.023970623,0.00036910202,0.2360152
122,0.024063148,0.00065069605,0.23412451
123,0.023676215,0.0004768844,0.2319933
124,0.02398436,0.0006367506,0.23347609
125,0.023950413,0.00024828897,0.23702124
126,0.023749309,0.00038622651,0.23363082
127,0.024261022,0.0005632505,0.23697771
128,0.024074372,0.00032850375,0.23745868
129,0.023834001,0.00015529094,0.2367871
130,0.023758763,0.0002646107,0.23494153
131,0.023839986,0.00078581227,0.23054174
132,0.02414601,0.0007407293,0.23405279
133,0.023872497,0.00068713527,0.2318536
134,0.023919309,0.00039168372,0.23527624
135,0.02415444,0.0005345306,0.23619908
136,0.023799792,0.00022495026,0.23574841
137,0.023877727,0.00015049812,0.23727228
138,0.023874694,0.0008995302,0.22975163
139,0.023827558,0.00027403195,0.23553525
140,0.023997713,0.00086179934,0.23135912
141,0.023945825,0.0006226337,0.2332319
142,0.023895867,0.00040123705,0.23494631
143,0.02385076,0.00085018104,0.23000579
144,0.023761498,0.0005493007,0.23212196
145,0.02339463,0.00044029648,0.22954333
146,0.023380606,0.0003987922,0.22981814
147,0.023577793,0.00039087978,0.23186913
148,0.023672523,0.0003995509,0.23272972
149,0.023931885,0.0005018039,0.2343008
150,0.025155175,0.0018459838,0.23309192
151,0.02347976,0.00043182314,0.23047937
152,0.023335459,0.00019613946,0.23139319
153,0.023690972,0.00054427463,0.23146698
154,0.023645028,0.00040709254,0.23237936
155,0.023625748,0.00023466145,0.23391086
156,0.02367553,0.0008126769,0.22862852
157,0.023408487,0.00021589734,0.23192589
158,0.02358349,0.00053572404,0.23047766
159,0.023161523,0.00040487398,0.22756648
160,0.023802847,0.0011231402,0.22679706
161,0.023251073,0.00037776885,0.22873305
162,0.023098035,0.00028723155,0.22810803
163,0.023462756,0.00031580735,0.23146948
164,0.023552174,0.00061620463,0.2293597
165,0.023310723,0.00045867695,0.22852045
166,0.023338892,0.0003404434,0.22998448
167,0.023219818,0.00062411523,0.22595704
168,0.023740873,0.0007242663,0.23016606
169,0.02351711,0.0007179624,0.22799146
170,0.02328456,0.00044381013,0.22840749
171,0.023392547,0.00018453364,0.23208013
172,0.023024421,0.00035150698,0.22672914
173,0.023422211,0.0004012054,0.23021005
174,0.023138558,0.00028674013,0.22851819
175,0.022994643,0.0002248727,0.2276977
176,0.022760717,0.00020514718,0.22555569
177,0.023028411,0.00020587818,0.22822532
178,0.0228421,0.00033525718,0.22506842
179,0.023202289,0.00062020007,0.2258209
180,0.022994744,0.00062031636,0.22374426
181,0.02309647,0.00042449738,0.22671974
182,0.02309671,0.0001849303,0.2291178
183,0.02313326,0.00038415723,0.22749102
184,0.023074744,0.0002082733,0.22866471
185,0.02297539,0.00026247575,0.22712913
186,0.022868877,0.00015841375,0.22710462
187,0.023243234,0.00039231213,0.2285092
188,0.02268099,0.00017707815,0.22503912
189,0.022937497,0.00036856622,0.22568932
190,0.02313917,0.0007711499,0.22368018
191,0.022563113,0.00023499609,0.22328116
192,0.022937817,0.00031091107,0.22626907
193,0.022818455,0.0004543022,0.22364153
194,0.023019489,0.0002521975,0.2276729
195,0.022873899,0.00030273915,0.22571158
196,0.022920962,0.00041483532,0.22506127
197,0.0227714,0.00017821905,0.2259318
